id	title	pids
31774	柳梢青（故蜀燕王宫海棠之盛，为成都第一，今属张氏）	52434
31775	赠封陟	41389
31776	送人至岭南	19926
31777	景风扇物	9350
31778	沁园春（为潘郴州寿）	57613
31779	淮南秋夜呈周侃（一作呈同僚）	62819
31780	送杜郎中使君赴虔州	10056
31781	岁暮晚泊，望庐山不见，因怀岳僧呈察判	35490
31782	送龚章判官之卫州·新及第	69885
31783	闻袭美有亲迎之期因以寄贺	27992
31784	重登科	21516
31785	寄岳州贾司马六丈、巴州严八使君两阁老五十韵	2882
31786	南乡子（用韵赋杨花）	50067
31787	七泉寺上方	8104
31788	西江月（贺人女晬）	66534
31789	村雪夜坐	14288
31790	枕石	68906
31791	摸鱼儿（为赵＿窝寿）	58366
31792	经武功旧宅	72596
31793	恭禧皇太后挽歌词三首	24331
31794	凤凰台上忆吹箫（同前）	50476
31795	浣溪沙（春日即事）	60373
31796	除官赴阙，留赠微之	15813
31797	游南阳白水登石激作	71844
31798	闰三月	24683
31799	吉日	10387
31800	酬李侍御萼题看心道场赋以眉毛肠心牙等五字（得牙字）	38561
31801	大隐坊。崔从事郧以直隳职	12293
31802	玉烛新（和方时父，并怀孙季蕃）	58298
31803	经仙人渚即沈山下古人沈义白日升仙处	38623
31804	凛凛岁云暮	43666
31805	香山下卜居	16730
31806	泊蒜山津闻东林寺光仪上人物故	22122
31807	大卤平后移家到永乐县居书怀十韵寄刘韦…于此县寄居	23022
31808	唐多令·芦叶满汀洲	55841
31809	浪淘沙（杜鹃花）	56840
31810	寄成都高苗二从事（时二公从事商隐座主府）	22529,22757
31811	念奴娇（夜寒有感）	53709
31812	朝中措（和张文伯远亭）	50137
31813	酬晖上人秋夜山亭有赠	36437
31814	咏夜	72729
31815	海上卧病寄王临	3814
31816	云南曲	72859
31817	送前东阳于明府由鄂渚归故林	22000
31818	思宜春寄友人	28769,28878
31819	重咏	15950
31820	奉和晦日幸昆明池应制	24368,32789,41119
31821	香山避暑二绝	16728
31822	陪窦侍御泛灵云池	2226
31823	糖多令（寿东轩）	61345
31824	长沙送李十一（衔）	3587
31825	寒食戏赠	5270
31826	初夏游张园	68861
31827	张仪楼	72998
31828	河阴新城	20916
31829	题衮州泗河中石床（李白、杜甫皆此饮咏）	32218
31830	阻雪	66976
31831	寄綦毋三	57540
31832	浪淘沙（杨梅）	62589,63058
31833	陆山人画水	29778
31834	卜算子（孟抚干岁寒三友屏风）	55254
31835	游桃源一百韵	11045
31836	赠谈客	16735
31837	叹昨日三首	13071
31838	赠副戎	24735
31839	莆田石记	42000
31840	清平乐（柬邢宰）	57641
